imdb_id,critic_reviews,user_reviews,metascore,budget,worldwide_gross
tt1681372,53,9,,,
tt1270707,7,3,,,
tt0019521,,,,,
tt0978762,184,260,,,
tt0157611,,,,,
tt1365026,3,2,,,
tt10097832,,,,,
tt0040259,,,,,
tt17048366,1,14,,,
tt5743888,4,29,,,
tt0415119,,,,,
tt2385282,,,,,
tt6085308,,,,,
tt0363567,,,,,
tt0024958,11,32,,,
tt0137042,,,,,
tt0099424,,,,,
tt9233172,,,,,
tt0163278,,,,,
tt0124666,4,5,,,
tt1877672,,,,,
tt1423592,51,14,57,,
tt5181352,,,,,
tt1373146,,,,,
tt0166082,,,,,
tt0276504,,,,,
tt0196080,,,,,
tt3063364,17,8,,,
tt3108404,,,,,
tt1185004,,,,,
tt5026652,,,,,
tt0778009,,,,,
tt0021638,1,2,,,
tt1734477,15,10,,,
tt0937414,5,2,,,
tt5073400,,,,,
tt14813966,19,121,42,,
tt1589474,,,,,
tt0054951,3,7,,,
tt2723240,31,8,,,
tt4799820,,,,,
tt3533672,,,,,
tt0483703,3,7,,,
tt0169858,18,255,,,
tt0188916,,,,,
tt0294980,,,,,
tt0359873,,,,,
tt0989723,,,,,
tt0295116,3,4,,,
tt0026779,,,,,
tt0259272,,,,,
tt2130078,,,,,
tt6200770,,,,,
tt0343422,,,,,
tt3773072,,,,,
tt1356920,,,,,
tt0443620,,,,,
tt0296766,6,18,,,
tt8202692,28,9,,,
tt0065434,,,,,
tt0268284,1,3,,,
tt1332542,,,,,
tt1069246,,,,,
tt1225810,,,,,
tt0101439,,,,,
tt0198810,,,,,
tt4660394,,,,,
tt4568352,,,,,
tt0032028,14,14,,,
tt1615485,8,2,,,
tt2751492,,,,,
tt8090914,,,,,
tt0298437,,,,,
tt1570972,,,,,
tt0064496,,,,,
tt4930564,,,,,
tt20258046,,,,,
tt0415742,,,,,
tt9440108,,,,,
tt3365690,7,15,,,
tt0399608,1,2,,,
tt0028798,1,2,,,
tt0163862,13,32,,,
tt2859890,,,,,
tt15162634,,,,,
tt10962562,,,,,
tt1815989,5,2,,,
tt0082830,1,2,,,
tt2159714,,,,,
tt0056575,40,88,,,
tt3074856,,,,,
tt0077517,,,,,
tt0443474,14,21,,,
tt1987590,6,1,,,
tt1512112,,,,,
tt0053415,,,,,
tt0144111,,,,,
tt0856105,,,,,
tt1588353,,,,,
tt12799960,,,,,
tt1840960,,,,,
tt0102070,91,307,17,,
tt0408695,,,,,
tt1300856,,,,,
tt6672238,,,,,
tt0125884,4,3,,,
tt13011878,,,,,
tt3548858,,,,,
tt0022376,1,5,,,
tt0183798,,,,,
tt3468698,36,18,,,
tt0125848,,,,,
tt0072087,2,4,,,
tt4857736,,,,,
tt8168944,,,,,
tt0799976,27,7,73,,
tt0318745,,,,,
tt0064641,,,,,
tt0140720,1,6,,,
tt0070861,2,10,,,
tt8688864,,,,,
tt0071995,,,,,
tt0181972,,,,,
tt0199016,,,,,
tt0052705,,,,,
tt5864288,,,,,
tt1198406,,,,,
tt0310657,,,,,
tt0319642,,,,,
tt0485165,4,1,,,
tt0144585,1,2,,,
tt21287314,,,,,
tt1821452,,,,,
tt0454084,24,33,,,
tt7534054,65,17,73,,
tt2847520,,,,,
tt1854370,,,,,
tt0049814,,,,,
tt0373692,1,1,,,
tt1765980,,,,,
tt19725816,3,2,,,
tt0127665,1,3,,,
tt0212425,,,,,
tt0242265,,,,,
tt4741686,,,,,
tt9777790,1,1,,,
tt15824146,,,,,
tt2325849,,,,,
tt5911652,,,,,
tt0258053,,,,,
tt5129818,49,25,81,,
tt7041458,2,1,,,
tt0180337,,,,,
tt2645044,9,4,,,
tt0310610,,,,,
tt4669408,,,,,
tt12471970,20,2,,,
tt0107679,,,,,
tt10392914,,,,,
tt1486650,,,,,
tt15215662,,,,,
tt0259553,,,,,
tt8902862,3,3,,,
tt9526784,67,14,73,,
tt3253930,168,70,,,
tt8840492,,,,,
tt0089056,2,3,,,
tt0388687,,,,,
tt3922678,,,,,
tt0136535,9,14,,,
tt0248384,,,,,
tt1870384,,,,,
tt3239240,,,,,
tt0027501,3,18,,,
tt7279296,2,2,,,
tt0094048,24,48,,,
tt0242550,,,,,
tt0109674,,,,,
tt0029466,1,3,,,
tt9354842,59,169,54,,
tt2591764,,,,,
tt0330147,,,,,
tt9376362,2,2,,,
tt2025715,1,1,,,
tt5487716,,,,,
tt0103287,,,,,
tt1980236,,,,,
tt7825602,,,,,
tt1087651,,,,,
tt0304285,,,,,
tt0052412,,,,,
tt6086350,,,,,
tt0241025,100,166,53,,
tt0164794,,,,,
tt0134225,,,,,
tt3387648,102,195,,,
tt1810815,,,,,
tt0373236,,,,,
tt3327432,1,2,,,
tt5198670,47,35,72,,
tt0009741,,,,,
tt0163794,,,,,
tt4572116,8,51,,,
tt0102845,,,,,
tt0076956,,,,,
tt18312532,,,,,
tt1551631,,,,,
tt1841930,,,,,
tt0346185,,,,,
tt0261800,,,,,
tt0251464,,,,,
tt0065852,29,29,,,
tt0217727,,,,,
tt1098201,,,,,
tt0138846,,,,,
tt0030185,,,,,
tt0083949,8,6,,,
tt3171340,,,,,
tt0010091,,,,,
tt0090591,,,,,
tt0071502,49,34,,,
tt6638536,,,,,
tt0304143,1,1,,,
tt4707450,,,,,
tt0236383,,,,,
tt7435570,,,,,
tt0432400,,,,,
tt0056835,2,3,,,
tt1227902,,,,,
tt0091635,49,146,50,,
tt1331307,83,86,,,
tt0084714,11,15,57,,
tt0047406,2,10,,,
tt0024507,11,22,,,
tt11905538,34,5,73,,
tt1194620,29,31,,,
tt3514016,1,1,,,
tt0255195,24,32,,,
tt6150942,11,15,64,,
tt2848446,,,,,
tt0166769,,,,,
tt11891246,13,27,,,
tt0291224,,,,,
tt12414062,,,,,
tt1233329,12,3,,,
tt11426572,26,81,57,,
tt0368679,1,1,,,
tt12885338,10,7,,,
tt11807888,36,35,,,
tt0086566,18,9,,,
tt11378230,,,,,
tt0042980,21,51,,,
tt1959550,40,16,40,,
tt1671674,,,,,
tt1846492,27,10,,,
tt11868816,,,,,
tt6421348,,,,,
tt0211343,,,,,
tt3332122,2,7,,,
tt6107630,,,,,
tt0929441,8,3,,,
tt1296899,102,60,,,
tt0273067,,,,,
tt3778760,,,,,
tt0361447,5,1,,,
tt0018051,31,40,,,
tt3302070,,,,,
tt7105548,10,1,,,
tt1419318,22,19,,,
tt0146571,5,6,,,
tt0175366,,,,,
tt0258264,1,1,,,
tt1674093,,,,,
tt0038764,4,19,,,
tt7258306,,,,,
tt0261397,,,,,
tt0102710,3,7,,,
tt1966503,,,,,
tt8896762,,,,,
tt0020602,2,9,,,
tt1716739,25,5,,,
tt1112830,,,,,
tt4165388,,,,,
tt6082388,,,,,
tt1895483,,,,,
tt0057424,,,,,
tt16969036,,,,,
tt9496406,,,,,
tt0115953,3,6,,,
tt0065198,17,11,,,
tt0314256,,,,,
tt0056147,,,,,
tt0012159,,,,,
tt0026758,19,23,,,
tt8305666,1,3,,,
tt0202872,,,,,
tt0097905,11,14,,,
tt0319623,,,,,
tt1730121,,,,,
tt5700182,164,99,74,,
tt0132910,24,157,,,
tt4498460,17,12,70,,
tt5303442,12,39,66,,
tt10520878,,,,,
tt0178654,4,1,,,
tt0047313,10,9,,,
tt2071477,3,3,,,
tt1008017,37,17,,,
tt0451999,12,6,,,
tt0032809,1,4,,,
tt2316801,112,65,39,,
tt0181469,2,1,,,
tt0205958,,,,,
tt1791576,30,10,30,,
tt0446685,49,30,61,,
tt3905366,,,,,
tt0088025,13,7,,,
tt0197388,,,,,
tt0050644,1,1,,,
tt2644690,1,2,,,
tt0349076,2,7,,,
tt0186389,,,,,
tt0781434,,,,,
tt0243471,,,,,
tt7218856,,,,,
tt1164629,1,2,,,
tt0800099,46,18,79,,
tt0128756,4,2,,,
tt0910867,,,,,
tt6782478,,,,,
tt0099228,,,,,
tt0245674,137,552,30,,
tt0166098,,,,,
tt3752316,,,,,
tt14113576,,,,,
tt10003978,20,7,80,,
tt0174319,,,,,
tt2107843,,,,,
tt0271742,,,,,
tt0255442,,,,,
tt0429766,,,,,
tt0068615,80,172,51,,
tt0040983,3,10,,,
tt5278480,,,,,
tt0114150,1,1,,,
tt0036132,,,,,
tt4905880,,,,,
tt0029811,53,120,,,
tt0388120,,,,,
tt0816149,2,1,,,
tt4948932,2,2,,,
tt10388548,,,,,
tt0416464,,,,,
tt8347754,5,6,,,
tt0364569,344,1.1K,77,,
tt2496972,18,4,,,
tt0174742,,,,,
tt0059875,2,5,,,
tt0368196,,,,,
