user_id,weighted_genres
ur0121776,"[1.31571429 0.71285714 0.         1.55428571 0.93857143 1.21714286
 0.23428571 7.83285714 0.         0.11571429 0.14285714 0.66285714
 0.         0.         0.         0.96142857 0.         0.
 1.78       0.37714286 0.         0.43142857 0.         0.63571429
 0.42857143 0.        ]"
ur0121799,"[1.22175141 0.71242938 0.04646893 0.40480226 0.67740113 1.10254237
 0.08799435 2.93785311 0.0440678  0.26991525 0.03968927 0.18954802
 0.63107345 0.10607345 0.04096045 0.56242938 0.         0.
 0.40706215 0.38629944 0.         0.13276836 0.         0.96935028
 0.18587571 0.09788136]"
ur0127279,"[1.44       1.13381818 0.076      0.368      1.68618182 1.47890909
 0.17163636 3.87890909 0.09127273 0.60109091 0.24327273 0.10145455
 0.30872727 0.13854545 0.05309091 0.86727273 0.         0.
 0.93854545 1.01709091 0.         0.         0.         0.91018182
 0.27163636 0.00909091]"
ur0134919,"[2.47926829 2.35121951 0.21341463 0.57439024 1.29634146 0.33902439
 0.2804878  2.32682927 0.17682927 0.40853659 0.         0.62926829
 0.         0.0195122  0.04390244 0.3597561  0.         0.
 0.56585366 0.95243902 0.         0.09878049 0.         0.54268293
 0.17682927 0.        ]"
ur0137908,"[0.32236136 0.7686941  0.16064401 0.47155635 1.57567084 0.68586762
 0.07155635 3.55760286 0.42683363 0.30214669 0.23112701 0.34186047
 0.18729875 0.37209302 0.66690519 0.27853309 0.         0.
 1.50107335 0.10089445 0.         0.0254025  0.         0.39713775
 0.28783542 0.16976744]"
ur0139451,"[0.68536585 0.88780488 0.         0.         6.92926829 1.19512195
 0.         1.85365854 0.4        0.74634146 0.         0.
 0.84146341 0.79512195 0.19756098 0.24390244 0.         0.
 2.46829268 0.84146341 0.         0.24390244 0.         0.19756098
 0.         0.19756098]"
ur0157498,"[1.46037234 0.73989362 0.10531915 0.10425532 0.8125     0.85053191
 0.01968085 1.44202128 0.0537234  0.21329787 0.         0.0606383
 0.47952128 0.02606383 0.03324468 0.39175532 0.         0.
 0.21808511 0.50505319 0.         0.07021277 0.         0.73058511
 0.10079787 0.02367021]"
ur0163443,"[1.06307692e+00 1.21538462e+00 1.53846154e-03 1.07692308e+00
 1.20461538e+00 2.95076923e+00 9.23076923e-01 5.82000000e+00
 1.53846154e-01 1.53846154e-01 0.00000000e+00 4.61538462e-01
 1.53846154e-01 3.07692308e-01 0.00000000e+00 4.63076923e-01
 0.00000000e+00 0.00000000e+00 6.21538462e-01 6.16923077e-01
 0.00000000e+00 1.53846154e-03 0.00000000e+00 1.94769231e+00
 4.61538462e-01 1.53846154e-01]"
ur0179443,"[4.70947201e-01 4.38737066e-01 8.98514195e-02 5.16250995e-01
 1.59696206e+00 7.86879809e-01 2.80379411e-01 3.32893340e+00
 1.17166357e-01 2.20628814e-01 4.40169806e-02 2.47638631e-01
 2.12563014e-01 2.66463253e-01 7.04430884e-02 3.35791987e-01
 8.49031573e-04 0.00000000e+00 9.37052269e-01 1.90382064e-01
 0.00000000e+00 9.26638366e-02 0.00000000e+00 5.14261077e-01
 1.67949058e-01 8.09631202e-02]"
ur0215141,"[1.11609195 0.76091954 0.         0.57931034 1.21724138 1.36551724
 0.         4.25862069 0.04137931 0.41494253 0.01034483 0.24252874
 0.49770115 0.15402299 0.         0.84942529 0.         0.
 1.11034483 0.61149425 0.         0.         0.         0.79885057
 0.25287356 0.0183908 ]"
ur0222418,"[0.76890244 0.90085366 0.01768293 0.44512195 3.29158537 1.34487805
 0.06853659 4.56780488 0.34243902 0.32353659 0.39134146 0.31
 0.31646341 0.20707317 0.47243902 0.555      0.         0.
 1.83597561 0.33       0.         0.10390244 0.         1.01902439
 0.42743902 0.40853659]"
ur0226855,"[0.28894737 0.29315789 0.         0.45157895 1.77701754 1.67754386
 0.5177193  5.46       0.05561404 0.16192982 0.21526316 0.31754386
 0.09824561 0.18824561 0.07578947 0.84526316 0.05421053 0.
 1.88298246 0.23438596 0.         0.0754386  0.         1.05701754
 0.43368421 0.04368421]"
